Question,Answer
What is Python?,Python is a high-level programming language.
What is Java?,Java is an object-oriented programming language.
What is AI?,Artificial Intelligence enables machines to mimic human intelligence.
What is Machine Learning?,Machine Learning allows computers to learn from data.
What is Cloud Computing?,Cloud Computing provides computing resources over the internet.
What is SQL?,SQL is used to manage relational databases.
What is API?,API allows software applications to communicate with each other.
What is Git?,Git is a version control system.
What is HTML?,HTML is used to structure web pages.
What is CSS?,CSS is used to style web pages.
What is JavaScript?,JavaScript adds interactivity to websites.
What is a Database?,A database stores organized data.
What is Cybersecurity?,Cybersecurity protects systems from digital attacks.
What is Data Science?,Data Science extracts insights from data.
What is an Operating System?,An operating system manages computer resources.
What is Linux?,Linux is an open-source operating system.
What is a Compiler?,A compiler converts source code into machine code.
What is OOP?,Object-Oriented Programming organizes code using classes and objects.
What is a Function?,A function is a reusable block of code.
What is an Algorithm?,An algorithm is a step-by-step problem-solving procedure.
Who is the Prime Minister of India?,The Prime Minister of India is the head of the government.
What is Democracy?,Democracy is a form of government where citizens elect representatives.
What is Parliament?,Parliament is the legislative body of a country.
What is an Election?,An election is a process of choosing representatives through voting.
What is a Constitution?,A constitution is the supreme law of a country.
What is a Political Party?,A political party is an organization that seeks political power.
What is Voting?,Voting is the act of selecting a candidate or decision.
What is Federalism?,Federalism divides power between central and state governments.
What is a Lok Sabha?,Lok Sabha is the lower house of India's Parliament.
What is Rajya Sabha?,Rajya Sabha is the upper house of India's Parliament.
What is Social Media?,Social media enables people to communicate and share content online.
What is Digital Literacy?,Digital literacy is the ability to use digital technologies effectively.
What is Online Privacy?,Online privacy protects personal information on the internet.
What is Cyberbullying?,Cyberbullying is harassment through digital platforms.
What is Mental Health?,Mental health refers to emotional and psychological well-being.
What is Community Service?,Community service involves helping society without payment.
What is Gender Equality?,Gender equality ensures equal rights and opportunities for all genders.
What is Environmental Awareness?,Environmental awareness promotes protection of nature.
What is Cultural Diversity?,Cultural diversity is the presence of different cultures in society.
What is Social Responsibility?,Social responsibility means acting for society's benefit.
How can I reset my password?,Use the Forgot Password option on the login page.
How can I contact support?,You can contact support through email or live chat.
How do I update my account information?,Go to Account Settings and edit your profile.
How can I change my email address?,Open account settings and update your email.
Why can't I log in?,"Check your username, password, and internet connection."
How do I cancel my subscription?,Visit the billing section and select cancel subscription.
How can I track my order?,Use the tracking number provided after shipment.
How do I request a refund?,Submit a refund request through customer support.
What payment methods are accepted?,"We accept cards, UPI, and online banking."
How do I verify my account?,Follow the verification instructions sent to your email.
What is PUBG Mobile?,PUBG Mobile is a battle royale game where players compete to survive.
What is BGMI?,BGMI is the Indian version of PUBG Mobile.
What is Free Fire?,Free Fire is a mobile battle royale game developed by Garena.
What is GTA V?,GTA V is an open-world action-adventure game.
What is Minecraft?,Minecraft is a sandbox game focused on building and exploration.
What is Roblox?,Roblox is a platform for creating and playing games.
What is an FPS game?,FPS stands for First Person Shooter game.
What is Esports?,Esports involves competitive video gaming.
What is a Battle Royale game?,A battle royale game features many players fighting until one remains.
What is a Gaming PC?,A gaming PC is optimized for running games smoothly.
